date,username,tweet,language,hashtags,cashtags,nlikes,nreplies,nretweets
2022-04-24 06:19:58,Lilith_NFTS,@BayNft123 ⚠️Walrus T(Tired) 75. Only .05 #eth polygon 🦭  My granddaughter maked this collection to buy a better pc and draw better. Give her your support to her dream.❤️🚀 TYSM🍀Let’s make a united #NFTCommunity follow back fam.  #NFT #NFTs #NFTCollection #nftart    https://t.co/3JqtDJuAyQ,en,"['eth', 'nftcommunity', 'nft', 'nfts', 'nftcollection', 'nftart']",[],0,0,0
2022-04-24 06:19:55,CryPtoFun_2022,bullish on visionary minds and chilled altru whales✌🏻🐳💥 #NFTs #NFTdrop #OpenSeaNFT #NFTlaunch #Moonbirds #NFT #nftcollector #NFTCollection #nftart #NFTProject #NFTCommmunity #FTartist #web3community #passion #art,en,"['nfts', 'nftdrop', 'openseanft', 'nftlaunch', 'moonbirds', 'nft', 'nftcollector', 'nftcollection', 'nftart', 'nftproject', 'nftcommmunity', 'ftartist', 'web3community', 'passion', 'art']",[],0,0,0
2022-04-24 06:19:49,TheCannaManNFT,✨✨Check out this amazing artist!!✨✨ 💰💸🚀🤯   #NFTdrop #NFT #NFTs #NFTCommunity #NFTArt #NFTArtist #ETH #NFTNews #CryptoNews #Polygon #PolygonNFT,en,"['nftdrop', 'nft', 'nfts', 'nftcommunity', 'nftart', 'nftartist', 'eth', 'nftnews', 'cryptonews', 'polygon', 'polygonnft']",[],0,0,0
2022-04-24 06:19:48,PokerChips99,Baby Minis Comfort Food 🍩  Best Community Ever!!! ❤‍🔥🔥   Follow: @monzterminions   Join:  https://t.co/THfz58wuQf  Subscribe:  https://t.co/KJLHz7gzM8   #Sandbox #P2E #game is in Development.   #MINIZ #MMGEMZ #NFT #NFTs #NFTCommunity #NFTCollection #NFTGame #NFTGaming #nftart  https://t.co/2hnzJSrKhw,en,"['sandbox', 'p2e', 'game', 'miniz', 'mmgemz', 'nft', 'nfts', 'nftcommunity', 'nftcollection', 'nftgame', 'nftgaming', 'nftart']",[],0,0,0
2022-04-24 06:19:44,Zack84241954,"👉I just joined the whitelist for #BlueZillApeClub!  🔥Go and enter for a chance to join the exclusive, #NFT group for #BlueZIlla loaded with top-shelf membership perks!  TG:  https://t.co/LWTg4J5i2e  #NFTs #NFTCollector #nftcommunity  https://t.co/rY8oWGkVyy",en,"['bluezillapeclub', 'nft', 'bluezilla', 'nfts', 'nftcollector', 'nftcommunity']",[],1,0,0
2022-04-24 06:19:32,nftp0sts,"Taroverse IDO on April 22. Taroverse is the first cross chain and… | by Babylons | Apr, 2022 | Medium #NFT #NFTs  https://t.co/MvOky0rMWU",en,"['nft', 'nfts']",[],1,0,0
2022-04-24 06:19:32,TykeGo,#nfts #nft #openseanfts #NFTCommmunity #nftart #cerealclub #tykego  TykeGo Cereal  https://t.co/pQCcCHSvT8,pl,"['nfts', 'nft', 'openseanfts', 'nftcommmunity', 'nftart', 'cerealclub', 'tykego']",[],0,0,0
2022-04-24 06:19:32,AlphadogsRun,"📥ALPHA DROPS AMA Weekly on Twitch  https://t.co/Luzo30M0ID  🐶Jim, Matt, &amp; Botlady this week reveal the British Greyhound Heads  &amp; How to get these Beautiful Silver Jacket #NFTs  @devhouseagency @Botlady4  #Crypto #P2E #NFT #RACING #GAME #Greyhounds #ETH   https://t.co/u7AR0MWxlA",en,"['nfts', 'crypto', 'p2e', 'nft', 'racing', 'game', 'greyhounds', 'eth']",[],0,1,0
2022-04-24 06:19:30,AlertsDaystock,Smart Monkey Club  https://t.co/HfZrUy3sLe #SmartMonkeyClub #Airnfts #NFTArtist #NFT #NFTcommunity  #NFTs #BSC #NFTCollection #NFTdrop #NFTbuyers #nftcollector @airnfts  https://t.co/1MNrQcWxG8,en,"['smartmonkeyclub', 'airnfts', 'nftartist', 'nft', 'nftcommunity', 'nfts', 'bsc', 'nftcollection', 'nftdrop', 'nftbuyers', 'nftcollector']",[],0,0,0
2022-04-24 06:19:26,BusinessJeremy,"NEW VIDEO: @PaniniAmerica NFT Week-in-Review: Issue #34: Apr 10-23  https://t.co/q8y8mG477F  Let me catch you up on the challenges, pack drops, news, and top sales of the week. I also give a look into the week to come.  #PaniniNFT #Panini #NFT #NFTs #SportsCards #WhoDoYouCollect",en,"['panininft', 'panini', 'nft', 'nfts', 'sportscards', 'whodoyoucollect']",[],1,0,0
